Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,AS,ANBA,DPOY,RPOY,SPOY,MIP,MVP
34,DET,PG,39,0,560,16.2,0.535,0.162,0.173,1.1,10.3,5.6,35.4,1.2,0,14.5,19.6,0.8,0.5,1.3,0.113,0.6,-0.2,0.3,0.3,0,0,0,0,0,0,0
27,IND,PF,49,3,559,14.4,0.559,0.01,0.111,8.3,20,14.3,6.7,0.6,3.1,12.3,19,0.4,0.6,1,0.082,-2.5,-0.9,-3.4,-0.2,0,0,0,0,0,0,0
22,MEM,PF,42,3,558,8.7,0.477,0.166,0.331,8.4,25.3,16.6,2.2,1.6,1.5,13.9,16.4,-0.2,0.8,0.6,0.054,-5.3,-0.6,-5.8,-0.5,0,0,0,0,0,0,0
26,2TM,PF,38,1,558,11.8,0.565,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,0.5,0.5,0.9,0.082,-1.5,-0.6,-2.1,0,0,0,0,0,0,0,0
26,DAL,PF,6,0,48,-1.4,0.355,0.412,0.176,4.6,15.2,9.7,0,0,0,9.8,20,-0.2,0,-0.1,-0.133,-10.3,-4.1,-14.3,-0.1,0,0,0,0,0,0,0
26,BRK,PF,32,1,510,13.1,0.587,0.542,0.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,0.6,0.5,1.1,0.102,-0.6,-0.2,-0.9,0.1,0,0,0,0,0,0,0
22,2TM,SF,30,16,557,9,0.511,0.371,0.192,3,11.2,7,7,2.5,1.7,15,17.1,-0.3,0.7,0.4,0.032,-4.3,0.6,-3.8,-0.3,0,0,0,0,0,0,0
22,MEM,SF,24,13,418,7.8,0.474,0.333,0.203,1.6,11,6.2,7.2,3,2.1,16.3,17.4,-0.6,0.6,0,0.004,-5.6,1.2,-4.4,-0.3,0,0,0,0,0,0,0
22,HOU,SF,6,3,139,12.8,0.616,0.477,0.159,7.1,11.8,9.4,6.4,1,0.6,11.3,16.2,0.2,0.1,0.3,0.116,-0.5,-1.3,-1.9,0,0,0,0,0,0,0,0
30,WAS,C,31,0,555,14.1,0.601,0,0.676,9.6,20.8,15.2,4.7,2.9,3.6,19.1,14,0.5,0.9,1.4,0.123,-3,1.6,-1.4,0.1,0,0,0,0,0,0,0
19,PHO,SF,32,8,545,12,0.604,0.091,0.339,7.6,8.2,7.9,3.1,1.2,1.9,8.6,11.7,0.9,0.2,1.1,0.098,-1.6,-0.7,-2.3,0,0,0,0,0,0,0,0
35,2TM,PG,41,13,539,8.9,0.506,0.478,0.09,3,12.2,7.5,23.3,1,0.2,22.7,14.4,0,0.3,0.3,0.023,-2.6,-0.6,-3.2,-0.2,0,0,0,0,0,0,0
35,LAL,PG,24,11,292,9.1,0.508,0.442,0.052,2.9,13.2,7.9,24.7,1.2,0.3,24.8,15.3,-0.1,0.1,0,0,-2.4,-1.2,-3.6,-0.1,0,0,0,0,0,0,0
35,ATL,PG,17,2,247,8.7,0.504,0.526,0.14,3.2,11,7.1,21.6,0.8,0,19.9,13.3,0.1,0.2,0.3,0.051,-2.9,0.1,-2.8,0,0,0,0,0,0,0,0
31,BOS,SF,47,0,538,11.9,0.524,0.478,0.177,3.3,13.9,8.7,9.8,0.8,1.1,9.1,22.7,0.1,0.4,0.6,0.05,-1,-2,-3,-0.1,0,0,0,0,0,0,0
28,MIN,C,62,0,531,12.7,0.549,0,0.256,11,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,0.116,-2.3,1.5,-0.8,0.2,0,0,0,0,0,0,0
27,BOS,C,51,5,525,13,0.508,0.006,0.247,9.2,17,13.2,12.2,0.7,3.3,10.2,16.5,0.5,0.6,1,0.094,-2.2,-0.2,-2.4,0,0,0,0,0,0,0,0
23,DAL,SG,54,2,521,10.7,0.498,0.674,0.156,5.5,16.2,10.6,13.9,1.7,1.4,14.7,16,0,0.6,0.6,0.055,-1.7,0.1,-1.6,0.1,0,0,0,0,0,0,0
25,POR,PG,53,2,512,13.6,0.533,0.503,0.268,1.7,11.5,6.6,19.5,3.1,0.3,16.7,21.2,0.1,0.5,0.6,0.06,-0.8,0.5,-0.4,0.2,0,0,0,0,0,0,0
23,2TM,SF,49,0,505,11.5,0.555,0.391,0.225,3.2,14.1,8.7,4,1.8,2.8,13.5,18.1,0,0.5,0.5,0.051,-2.5,0.1,-2.3,0,0,0,0,0,0,0,0
23,HOU,SF,29,0,212,10.2,0.552,0.397,0.147,3.1,12.4,7.7,2.7,1.6,3,12.1,16.4,0,0.2,0.3,0.058,-2.8,-0.2,-2.9,-0.1,0,0,0,0,0,0,0
23,BRK,SF,20,0,293,12.5,0.556,0.386,0.277,3.3,15.3,9.4,4.9,1.9,2.6,14.4,19.3,0,0.3,0.3,0.046,-2.2,0.3,-1.9,0,0,0,0,0,0,0,0
28,2TM,C,45,12,484,8.4,0.518,0,0.424,9,13.3,11.1,6.1,1.9,2.4,21.6,13.1,-0.1,0.5,0.5,0.045,-5,0,-5,-0.4,0,0,0,0,0,0,0
28,MIL,C,32,12,310,8,0.492,0,0.515,8.7,11.1,10,8.2,1.8,2.6,20.9,15.5,-0.2,0.3,0.1,0.021,-5.1,-0.2,-5.4,-0.3,0,0,0,0,0,0,0
28,CHO,C,13,0,174,9,0.602,0,0.167,9.4,17.2,13.3,2.5,2,2,23.7,8.7,0.1,0.2,0.3,0.087,-4.8,0.4,-4.4,-0.1,0,0,0,0,0,0,0
30,NOP,C,31,19,482,9.8,0.517,0,0.6,10.4,25.3,17.8,4.2,0.5,1.7,14.6,8.8,0.4,0.6,1,0.1,-3.6,-0.1,-3.7,-0.2,0,0,0,0,0,0,0
26,NOP,PF,34,0,479,9.1,0.47,0.341,0.355,5.7,16.6,11.1,9.7,1.8,1.9,16.3,17.6,-0.5,0.6,0.2,0.016,-4.5,0.3,-4.3,-0.3,0,0,0,0,0,0,0
24,MIA,PF,35,0,471,7.5,0.507,0.391,0.253,5.8,13.5,9.6,6,1.1,1.7,15.7,10.8,0.1,0.5,0.6,0.066,-3.6,0.4,-3.1,-0.1,0,0,0,0,0,0,0
25,DET,SF,31,5,467,11.7,0.538,0.57,0.055,2.9,12.4,7.5,8.8,1.9,0.5,7.1,13.4,0.4,0.5,1,0.101,-1,1.3,0.3,0.3,0,0,0,0,0,0,0
22,2TM,PG,31,0,462,5.5,0.407,0.446,0.041,0.7,10.7,5.7,17.7,1.5,0.7,12.9,20.9,-0.8,0.4,-0.3,-0.035,-5.2,-0.9,-6.1,-0.5,0,0,0,0,0,0,0
22,OKC,PG,20,0,320,6.1,0.402,0.4,0.031,0.7,10.1,5.4,18.3,1.5,1,10.8,19.6,-0.4,0.3,-0.1,-0.012,-4.8,-0.6,-5.3,-0.3,0,0,0,0,0,0,0
22,CHI,PG,11,0,142,4,0.417,0.54,0.063,0.8,12.2,6.5,16.2,1.4,0,16.7,23.9,-0.4,0.1,-0.3,-0.086,-6.2,-1.5,-7.7,-0.2,0,0,0,0,0,0,0
36,BRK,PF,36,1,461,13.9,0.55,0.331,0.245,11.9,19.9,16,12.7,1.4,0.7,16.9,18.7,0.4,0.4,0.8,0.082,-1.8,-1.1,-2.9,-0.1,0,0,0,0,0,0,0
20,MIL,SG,41,2,458,7.8,0.449,0.519,0.032,1,11.3,6.2,7.4,2.1,1.9,8.1,17.2,-0.5,0.4,0,-0.005,-3.2,-0.4,-3.6,-0.2,0,0,0,0,0,0,0
24,GSW,PF,52,2,457,13.1,0.543,0.068,0.359,8.7,12.9,10.9,5.2,1.9,5,12.3,14.6,0.3,0.8,1.1,0.117,-2.7,0.9,-1.8,0,0,0,0,0,0,0,0
20,GSW,C,53,4,447,13.6,0.553,0.084,0.318,11.5,18.5,15.2,8.5,1.6,3,12.2,13.4,0.7,0.8,1.4,0.155,-2.4,0.7,-1.7,0,0,0,0,0,0,0,0
29,MEM,PF,28,5,447,18.6,0.628,0.007,0.259,7.7,12.4,10,6,1.3,4.3,6.2,16.3,1.1,0.5,1.6,0.177,1,0.7,1.7,0.4,0,0,0,0,0,0,0
24,TOR,PG,27,0,446,15,0.535,0.259,0.474,4.1,8.1,6.1,18.2,3.1,2.1,15.1,16.6,0.5,0.6,1.1,0.117,-0.1,2.1,2,0.5,0,0,0,0,0,0,0
28,NOP,SG,19,0,442,17.6,0.582,0.436,0.119,0.9,7.2,4.1,22.7,1.2,0.4,9.8,25.5,0.6,0.3,0.9,0.102,2.2,-0.9,1.3,0.4,0,0,0,0,0,0,0
26,UTA,C,51,1,432,18.8,0.588,0.01,0.466,14.3,17.9,16.2,2.5,1.9,6,10.1,14.9,1,0.9,1.8,0.205,-0.4,1.9,1.4,0.4,0,0,0,0,0,0,0
31,CHO,PG,41,2,416,9.8,0.51,0.361,0.32,1.3,9,5.2,18.7,1.1,0.2,15.7,17.9,0,0.3,0.2,0.028,-2.8,-1.3,-4.2,-0.2,0,0,0,0,0,0,0
32,NYK,SG,42,4,408,8.6,0.423,0.544,0.176,3.2,12.4,7.8,17.9,1.6,0.4,9.8,17.3,-0.1,0.2,0.1,0.014,-2.7,-0.5,-3.2,-0.1,0,0,0,0,0,0,0
20,MEM,PG,33,1,405,6.5,0.404,0.191,0.322,3,10.2,6.5,22.8,2.3,1.7,22.9,19.1,-0.8,0.5,-0.3,-0.041,-5.8,0.3,-5.5,-0.3,0,0,0,0,0,0,0
24,LAL,SG,20,2,397,12.2,0.611,0.062,0.481,4.5,13.1,8.7,5,1.6,1.4,10.1,11.8,0.6,0.2,0.8,0.091,-2.1,-0.1,-2.2,0,0,0,0,0,0,0,0
30,MEM,PG,24,0,394,10.6,0.451,0.359,0.248,3.7,14.3,8.9,22.2,2.4,1.2,13.9,17.4,0,0.5,0.5,0.059,-3.2,1.8,-1.5,0.1,0,0,0,0,0,0,0
21,CLE,PG,42,0,386,11.4,0.462,0.139,0.31,0.9,10.5,5.9,22.7,2.3,1.5,14.3,24.2,-0.3,0.4,0.1,0.008,-3.1,0.7,-2.4,0,0,0,0,0,0,0,0
28,OKC,SF,32,2,385,5.9,0.486,0.446,0.205,2.3,11.5,6.9,3.2,0.9,1,10.8,11.2,0,0.3,0.3,0.034,-4.1,-0.2,-4.3,-0.2,0,0,0,0,0,0,0
25,CLE,SG,37,4,384,9.7,0.488,0.34,0.227,1.8,9.7,5.9,7.4,1,1.3,7.8,20.8,-0.1,0.2,0.2,0.02,-2.6,-1.1,-3.7,-0.2,0,0,0,0,0,0,0
36,CLE,SF,48,2,381,11.1,0.655,0.717,0.217,0.9,9.5,5.4,5.2,0.8,2.1,9,13,0.6,0.2,0.8,0.102,-0.1,-0.3,-0.3,0.2,0,0,0,0,0,0,0
23,DET,SG,39,1,381,5.9,0.459,0.365,0.222,0.6,9.2,4.7,12.3,1.5,0.4,16.8,19.3,-0.6,0.4,-0.2,-0.027,-5.8,-0.2,-6,-0.4,0,0,0,0,0,0,0
29,MIA,PF,22,14,381,9.8,0.439,0.263,0.076,6.6,15,10.7,18.9,1.3,0.8,15.9,16.9,-0.1,0.4,0.3,0.036,-1.9,0.2,-1.6,0,0,0,0,0,0,0,0
22,ATL,SF,38,1,371,8.8,0.481,0.184,0.163,4.2,13.1,8.7,11.5,1.1,1.2,13.2,14.2,-0.1,0.4,0.3,0.038,-3.6,0.1,-3.5,-0.1,0,0,0,0,0,0,0
26,3TM,SG,18,0,361,9.6,0.485,0.167,0.108,1.2,14.8,8,24.8,0.7,0.7,17.1,18.7,-0.2,0.2,0.1,0.008,-3.4,-0.6,-4,-0.2,0,0,0,0,0,0,0
26,NOP,SG,6,0,162,10.3,0.496,0.182,0.145,1.9,9.8,5.9,27.7,0.6,0.5,15.8,19,0,0.1,0.1,0.027,-3.3,-0.4,-3.6,-0.1,0,0,0,0,0,0,0
26,MIN,SG,6,0,67,6.6,0.48,0.095,0.095,0,17.7,8.7,11.2,0,0,15.5,17.1,-0.1,0,-0.1,-0.045,-4.7,-2.6,-7.3,-0.1,0,0,0,0,0,0,0
26,IND,SG,6,0,132,10.3,0.474,0.182,0.068,0.9,19.3,10.2,28.1,1.1,1.3,19.5,19.1,-0.1,0.1,0,0.012,-2.9,0.2,-2.7,0,0,0,0,0,0,0,0
19,SAC,C,22,0,355,12.7,0.573,0.02,0.137,7.9,20,14,9,0.4,4.4,18.2,16.9,0.1,0.3,0.4,0.057,-3.1,-0.6,-3.8,-0.2,0,0,0,0,0,0,0
24,UTA,PG,40,0,346,10.7,0.527,0.341,0.099,1.4,8.4,5,15.1,3.2,1.2,13.6,14.8,0.2,0.6,0.7,0.1,-3.5,3.4,-0.1,0.2,0,0,0,0,0,0,0
27,2TM,PF,38,0,342,5.9,0.427,0.243,0.126,4.9,14.6,9.8,4.1,2.3,1.5,12.7,17,-0.5,0.4,-0.1,-0.019,-6.1,0.1,-6,-0.3,0,0,0,0,0,0,0
27,WAS,PF,28,0,231,6.3,0.425,0.208,0.156,5.4,11.2,8.3,4.2,2.3,2.2,11.8,17.6,-0.3,0.3,-0.1,-0.014,-5.7,0.2,-5.6,-0.2,0,0,0,0,0,0,0
27,BRK,PF,10,0,111,5,0.43,0.324,0.059,3.9,21.7,12.9,4,2.1,0,14.7,15.8,-0.2,0.1,-0.1,-0.03,-6.7,-0.1,-6.8,-0.1,0,0,0,0,0,0,0
24,NYK,PF,32,4,331,11.3,0.503,0.081,0.302,7.1,13.7,10.4,3.5,2.3,2,11,14.3,0.1,0.3,0.4,0.059,-2.9,0.1,-2.8,-0.1,0,0,0,0,0,0,0
20,SAS,PG,38,8,322,9.6,0.503,0.198,0.259,2.2,12.4,7.4,22.6,1.3,1.5,22.7,23.5,-0.4,0.5,0,0.004,-4.2,-0.5,-4.8,-0.2,0,0,0,0,0,0,0
24,POR,SG,39,1,316,11.8,0.645,0.458,0.125,3.5,14.8,9.1,12.7,0.9,0.5,18.3,13,0.4,0.2,0.6,0.09,-0.4,-0.3,-0.7,0.1,0,0,0,0,0,0,0
30,ORL,SF,45,0,314,6.3,0.466,0.727,0,1.7,7.1,4.3,9.2,1.9,0.3,9.3,13.6,-0.1,0.2,0.1,0.008,-4.2,-0.3,-4.5,-0.2,0,0,0,0,0,0,0
34,LAC,SF,30,0,308,5,0.494,0.55,0.2,1.1,7.4,4.4,4.9,0.5,0,7.4,13.7,0,0.1,0.1,0.02,-4.2,-1.9,-6.1,-0.3,0,0,0,0,0,0,0
23,2TM,PG,26,0,299,13.6,0.586,0.48,0.439,2.2,9.4,5.8,16.8,1.5,0.5,14,19.7,0.5,0.1,0.7,0.106,-1.1,-0.6,-1.7,0,0,0,0,0,0,0,0
23,PHI,PG,8,0,74,17.7,0.671,0.577,0.462,0,7.5,3.7,13.2,2,1.1,8.8,20.1,0.2,0.1,0.3,0.197,1.4,1.5,2.9,0.1,0,0,0,0,0,0,0
23,NYK,PG,18,0,225,12.3,0.555,0.444,0.431,2.9,10.1,6.5,18,1.3,0.4,15.7,19.6,0.3,0.1,0.4,0.075,-2,-1.3,-3.2,-0.1,0,0,0,0,0,0,0
22,TOR,PG,37,0,294,10.5,0.443,0.261,0.198,1.5,14.6,8.1,17.5,2.8,0.9,11.1,20.6,-0.1,0.4,0.2,0.04,-3.6,1.6,-2.1,0,0,0,0,0,0,0,0
28,DET,C,35,0,293,29.6,0.606,0,0.439,16.5,32.5,24.2,5.3,1,3.4,6,25.3,1.2,0.5,1.7,0.28,5.4,0.1,5.5,0.6,0,0,0,0,0,0,0
24,WAS,SG,30,3,287,10.1,0.518,0.4,0.36,1.6,11.7,6.7,7,1.4,0.6,5.4,14,0.3,0.2,0.5,0.076,-2.2,-0.1,-2.3,0,0,0,0,0,0,0,0
23,SAS,SG,36,0,285,5.9,0.462,0.535,0.061,0.8,8.2,4.6,11.7,0.2,0,9.8,17.9,-0.2,0.2,0.1,0.014,-3.9,-1.5,-5.4,-0.2,0,0,0,0,0,0,0
39,LAC,SF,25,7,277,5.7,0.535,0.614,0.186,0.4,18.5,9.7,5,0.7,1.5,17.4,14.8,-0.2,0.3,0.1,0.015,-4.7,0.1,-4.7,-0.2,0,0,0,0,0,0,0
23,BRK,PF,23,1,264,14.7,0.533,0.522,0.391,10.2,21,15.6,7.1,0.9,0.9,10,19.4,0.3,0.2,0.5,0.09,0.5,-1.9,-1.4,0,0,0,0,0,0,0,0
22,POR,SF,35,1,249,4.9,0.404,0.573,0.191,2.7,8,5.3,6.2,1.8,1,10.2,19,-0.4,0.1,-0.3,-0.054,-5.2,-1.2,-6.4,-0.3,0,0,0,0,0,0,0
20,MEM,C,36,0,238,10.6,0.528,0,0.383,9.3,19.8,14.4,1.3,0.7,6.8,12.7,12,0.1,0.4,0.5,0.097,-5,0.4,-4.6,-0.2,0,0,0,0,0,0,0
33,LAL,PG,23,1,237,9.1,0.417,0.279,0.25,0.9,10.5,5.5,30.8,2.1,0.7,20.1,17,-0.2,0.1,-0.1,-0.025,-3.3,-1.3,-4.6,-0.2,0,0,0,0,0,0,0
22,2TM,SG,14,5,236,6.9,0.525,0.483,0.379,0.5,7.2,3.8,8.5,1.3,0.4,15.1,15.3,-0.1,0.2,0.1,0.016,-4.6,-1,-5.5,-0.2,0,0,0,0,0,0,0
22,NOP,SG,3,3,47,10,0.82,0.875,0.5,0,11.3,5.6,3,2.1,0,23.5,12,0,0,0.1,0.089,-3.3,1.6,-1.8,0,0,0,0,0,0,0,0
22,MEM,SG,11,2,189,6.2,0.475,0.42,0.36,0.6,6.2,3.3,9.9,1.1,0.5,13.4,16.1,-0.1,0.1,0,-0.002,-4.9,-1.6,-6.5,-0.2,0,0,0,0,0,0,0
24,PHI,C,18,0,234,24.1,0.595,0.174,0.321,19.3,20.8,20,10.7,1.9,3.1,9.5,25.4,0.6,0.3,0.9,0.195,2.3,-1.1,1.2,0.2,0,0,0,0,0,0,0
29,DAL,PG,17,0,231,9.5,0.492,0.474,0.305,0.5,11.1,5.5,18.8,1.8,0,16.3,26.3,-0.3,0.2,-0.1,-0.03,-3.1,-0.7,-3.7,-0.1,0,0,0,0,0,0,0
21,BOS,SG,29,0,220,10,0.549,0.603,0.155,3.1,10,6.6,2.6,2.3,0.7,6.1,13.3,0.1,0.2,0.3,0.076,-1.7,0.4,-1.3,0,0,0,0,0,0,0,0
25,IND,PF,29,0,219,10.4,0.529,0,0.674,13.5,15.2,14.4,2.5,0.7,2.4,12.5,13.1,0.3,0.2,0.5,0.099,-4,-1,-5,-0.2,0,0,0,0,0,0,0
22,2TM,SG,15,0,214,18.7,0.651,0.227,0.636,3.5,10.3,6.9,18.5,0.9,1.8,14.2,19.8,0.6,0.1,0.7,0.153,2.2,-0.3,1.9,0.2,0,0,0,0,0,0,0
22,NOP,SG,3,0,30,19.7,0.798,0.4,2,0,0,0,4.5,0,2.7,0,13.9,0.2,0,0.2,0.291,3,0.3,3.3,0,0,0,0,0,0,0,0
22,BRK,SG,12,0,184,18.6,0.633,0.213,0.525,4.1,11.9,8.1,20.8,1,1.6,15.7,20.7,0.4,0.1,0.5,0.131,2,-0.4,1.6,0.2,0,0,0,0,0,0,0
24,2TM,PG,20,0,205,11,0.462,0.167,0.267,4.3,9.6,7,15,2.9,0.4,10.7,16.3,0,0.2,0.3,0.059,-4.5,0.8,-3.7,-0.1,0,0,0,0,0,0,0
24,GSW,PG,7,0,46,5.9,0.392,0.214,0.214,0,9,4.8,13.9,3.1,1.7,16.4,17.2,-0.1,0.1,0,-0.018,-8.1,-0.3,-8.4,-0.1,0,0,0,0,0,0,0
24,CHO,PG,13,0,159,12.5,0.483,0.152,0.283,5.5,9.7,7.6,15.4,2.8,0,8.8,16.1,0.1,0.2,0.3,0.081,-3.4,1.1,-2.3,0,0,0,0,0,0,0,0
20,NOP,PF,17,0,199,16.8,0.51,0,0.276,12.1,26.7,19.4,3.2,1,2.9,7.6,20.5,0.2,0.3,0.5,0.111,-1.8,-1.9,-3.7,-0.1,0,0,0,0,0,0,0
21,SAC,SG,22,0,198,9.6,0.517,0.412,0.279,1.8,11.5,6.7,8.7,1.3,0.5,9.5,19.3,0,0.1,0.1,0.028,-3.4,-1.4,-4.8,-0.1,0,0,0,0,0,0,0
28,ATL,PF,18,0,195,5.9,0.36,0.458,0.136,5.7,15,10.4,12.5,1,1.3,11.3,15.8,-0.3,0.2,-0.1,-0.014,-4.7,-0.7,-5.5,-0.2,0,0,0,0,0,0,0
23,CHO,SG,27,1,189,10.6,0.612,0.375,0.375,2.9,10,6.4,4.7,1.6,0.5,6,11.8,0.3,0.2,0.4,0.108,-1.8,0.8,-1,0.1,0,0,0,0,0,0,0
23,2TM,PG,14,0,188,11.8,0.579,0.394,0.076,0.6,3.6,2,22.8,1.1,0,16,19.6,0.1,0.1,0.2,0.047,-1.6,-1.5,-3.1,-0.1,0,0,0,0,0,0,0
23,DAL,PG,5,0,77,6.9,0.522,0.56,0.08,0,4.8,2.3,25.7,0.7,0,23.6,20.7,-0.1,0,-0.1,-0.046,-3.8,-2.4,-6.2,-0.1,0,0,0,0,0,0,0
23,NOP,PG,9,0,111,15.3,0.614,0.293,0.073,0.9,2.9,1.9,20.7,1.3,0,10.6,18.9,0.2,0.1,0.3,0.11,0,-1,-1,0,0,0,0,0,0,0,0
27,SAS,PG,18,3,174,8.4,0.579,0.574,0.191,0.7,5.7,3.3,23,1.2,0.5,27.2,18.2,0,0.2,0.2,0.044,-3.2,-0.8,-3.9,-0.1,0,0,0,0,0,0,0
24,NYK,C,21,1,170,10.9,0.521,0,0.633,14.5,17.8,16.2,8.1,1.2,1.9,23.8,12.8,0,0.1,0.2,0.048,-3.6,-1,-4.6,-0.1,0,0,0,0,0,0,0
20,DEN,SG,22,1,165,13.7,0.536,0.384,0.137,3.4,8,5.7,10.2,2.1,0,9.4,22,0.1,0.1,0.2,0.057,-0.4,-0.2,-0.6,0.1,0,0,0,0,0,0,0
24,DAL,C,22,0,163,8.4,0.472,0.238,0.476,5.4,21,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0,-0.001,-6.6,0,-6.6,-0.2,0,0,0,0,0,0,0
37,LAL,SF,25,2,160,6.5,0.38,0.559,0.235,3.3,10.6,6.8,9.8,3,1,8.5,21.9,-0.3,0.1,-0.2,-0.061,-5.5,-0.7,-6.1,-0.2,0,0,0,0,0,0,0
24,2TM,SF,11,0,159,7.2,0.43,0.54,0,5.3,16.9,11,7.6,1.5,0.5,10.7,15.6,-0.2,0.2,0,0.001,-4.5,0.1,-4.4,-0.1,0,0,0,0,0,0,0
24,NOP,SF,9,0,143,5.9,0.415,0.585,0,4.4,14.8,9.6,5.9,1.7,0.6,10.9,14.2,-0.2,0.2,0,-0.007,-5,0.5,-4.5,-0.1,0,0,0,0,0,0,0
24,ORL,SF,2,0,16,18.5,0.5,0.333,0,13.2,35,23.8,23,0,0,10,27.5,0,0,0,0.076,-0.1,-3.1,-3.2,0,0,0,0,0,0,0,0
23,PHI,PF,6,1,157,13.2,0.548,0.352,0.185,7.7,12.7,10.2,5.1,0.9,1,4.9,16.9,0.2,0.1,0.3,0.099,-0.8,-2.1,-2.9,0,0,0,0,0,0,0,0
36,DEN,SF,20,0,151,7.6,0.586,0.87,0.087,1.5,26.1,13.9,18.3,0.6,0,35.2,10.4,0,0.1,0.1,0.018,-2,0.5,-1.5,0,0,0,0,0,0,0,0
20,DET,PF,19,2,146,7.5,0.444,0.547,0.125,5.8,25.6,15.3,7.2,0.3,0.6,17.2,24.7,-0.4,0.2,-0.2,-0.071,-4.1,-1.8,-5.9,-0.1,0,0,0,0,0,0,0
22,BOS,PF,25,1,141,9.8,0.473,0.029,0.412,10.4,16.4,13.4,7.1,1.1,3.5,18.3,15.5,-0.1,0.2,0.1,0.036,-3.9,-0.8,-4.7,-0.1,0,0,0,0,0,0,0
24,IND,PG,33,0,135,11.4,0.433,0.319,0.208,0.8,13.1,7.1,18,1.5,0,6,27.8,-0.2,0.1,-0.1,-0.022,-3.1,-2.1,-5.2,-0.1,0,0,0,0,0,0,0
25,MIN,PF,18,0,135,14.4,0.505,0.278,0.352,7.7,21,14.3,8,3,4.4,11.4,23.1,0,0.2,0.2,0.086,-3.8,1.5,-2.3,0,0,0,0,0,0,0,0
33,PHO,PG,14,0,134,5.9,0.272,0.708,0.167,2.4,6.7,4.5,16.9,3.9,0.6,10.4,9,-0.1,0.1,0,0.002,-5.7,2.3,-3.4,0,0,0,0,0,0,0,0
36,MIA,C,16,0,130,8.8,0.524,0.13,0.652,6.7,24.1,15.3,6.4,2.3,0.6,21.3,12.8,0,0.2,0.2,0.074,-6.1,0.9,-5.3,-0.1,0,0,0,0,0,0,0
36,OKC,PF,20,0,128,12.9,0.622,0.043,0.348,7.8,19.1,13.4,13.2,0.8,1.2,13.1,10.1,0.3,0.1,0.4,0.145,-1.3,1.1,-0.2,0.1,0,0,0,0,0,0,0
28,OKC,PG,13,0,125,5.4,0.381,0.25,0.192,0,9.8,4.9,16.3,3.1,0,11,21.5,-0.2,0.2,-0.1,-0.033,-7.5,0.8,-6.7,-0.1,0,0,0,0,0,0,0
32,HOU,PG,25,0,123,10.8,0.509,0.583,0.033,0,5.3,2.7,17.6,0.4,0,7.6,22.7,0.1,0,0.1,0.04,-0.1,-3.5,-3.6,0,0,0,0,0,0,0,0
34,SAS,C,19,0,122,11.6,0.64,0,0.5,7.6,20.9,14.4,3.4,0.8,4,17,8.7,0.1,0.2,0.4,0.141,-3.5,1.4,-2.1,0,0,0,0,0,0,0,0
24,TOR,PF,11,1,118,6,0.366,0.383,0.17,9.6,16.3,12.9,3.7,1.7,0.7,7.3,20.7,-0.2,0.1,-0.1,-0.031,-5.1,-2.2,-7.2,-0.2,0,0,0,0,0,0,0
23,DAL,PF,9,0,115,13.9,0.487,0.237,0.184,7.7,14.9,11.1,12.8,0.9,3.1,6.8,18.1,0.1,0.1,0.2,0.083,-1.6,-0.7,-2.2,0,0,0,0,0,0,0,0
38,CLE,C,12,0,114,11.6,0.497,0.136,0.636,9,20.6,15,5.9,2.2,5,15.1,13,0.1,0.2,0.2,0.102,-4.7,2.2,-2.5,0,0,0,0,0,0,0,0
25,ATL,PF,16,0,110,7.8,0.408,0.357,0.214,1,16.7,9,10.2,1.8,3.9,11.5,13.7,-0.1,0.2,0.1,0.029,-4.6,1.4,-3.1,0,0,0,0,0,0,0,0
26,ORL,SG,22,0,108,2.9,0.329,0.484,0.065,3.9,8.3,6.1,15.5,0.9,0.7,15.8,15.4,-0.2,0,-0.2,-0.09,-6.2,-1.9,-8.1,-0.2,0,0,0,0,0,0,0
20,ORL,C,19,0,108,7.3,0.346,0,0.161,10.8,24.9,17.6,5.3,0.9,3.7,8.3,14.8,-0.1,0.1,0,-0.005,-6.6,-1.7,-8.3,-0.2,0,0,0,0,0,0,0
21,CHO,PF,13,0,107,15.1,0.591,0.217,0.652,14.3,15.5,14.9,2.8,1.4,4.9,19.1,15.4,0.1,0.1,0.3,0.125,-2.3,-0.3,-2.6,0,0,0,0,0,0,0,0
24,MIL,PG,6,0,99,4.5,0.413,0.409,0.227,0,14,7.1,18.1,1.5,3.6,29.2,15.8,-0.3,0.1,-0.2,-0.074,-6.3,-0.2,-6.5,-0.1,0,0,0,0,0,0,0
23,IND,PF,23,0,93,0.1,0.285,0.333,0.056,2.4,17.9,10.3,7.5,1.6,0,11.9,20.2,-0.4,0.1,-0.3,-0.168,-8.8,-3,-11.7,-0.2,0,0,0,0,0,0,0
34,GSW,C,14,1,92,9.4,0.478,0,0.786,15.3,16.8,16.1,13,1.6,2.6,29.8,12.6,0,0.1,0.2,0.097,-4.7,0.5,-4.2,-0.1,0,0,0,0,0,0,0
