Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,AS,ANBA,DPOY,RPOY,SPOY,MIP,MVP
29,2TM,PF,83,35,2300,14.9,0.467,0.231,0.258,7.2,18.3,12.6,20.5,1.9,3.9,15.8,24.8,-1.1,3.4,2.3,0.048,-0.6,1.2,0.7,1.6,0,0,0,0,0,0,0
29,DET,PF,28,28,896,14.3,0.417,0.095,0.284,6.1,18.9,12.3,24.7,2.1,4.2,14.1,25.3,-1.1,1.3,0.2,0.012,-0.7,2.2,1.5,0.8,0,0,0,0,0,0,0
29,HOU,PF,55,7,1404,15.2,0.5,0.32,0.242,7.9,17.9,12.9,17.8,1.8,3.8,16.9,24.5,-0.1,2.2,2.1,0.071,-0.5,0.7,0.2,0.8,0,0,0,0,0,0,0
22,UTA,PG,76,43,2288,12.6,0.455,0.388,0.144,1.6,8.7,5.2,25,1.5,0.5,10.4,23.9,0.8,1.6,2.4,0.05,-0.1,-1.3,-1.4,0.3,0,0,0,0,0,0,0
32,DAL,C,75,75,2286,20.1,0.697,0,0.584,14.1,27.4,20.7,5.3,0.9,3.2,16,12.8,7.2,3.1,10.3,0.216,2.4,0.2,2.6,2.7,0,0,0,0,0,0,0
36,DAL,PF,77,77,2282,19.2,0.56,0.258,0.272,2.1,19.9,11,10.4,0.9,1.2,6.5,24.9,5.2,2,7.2,0.152,2.7,-0.5,2.2,2.4,1,0,0,0,0,0,0
23,UTA,PF,74,74,2280,21.8,0.558,0.007,0.362,10,20.7,15.4,9.4,1.4,4.3,10.2,23.8,5,3.3,8.3,0.175,1.9,0.6,2.5,2.6,0,0,0,0,0,0,0
34,LAC,SF,76,74,2271,11.3,0.574,0.603,0.152,2.6,12.2,7.5,7.2,1.5,1.8,11.6,14.9,2.2,2.1,4.3,0.091,-0.5,0.2,-0.3,1,0,0,0,0,0,0,0
24,2TM,PG,77,40,2268,17.2,0.511,0.242,0.219,2.6,12.9,7.8,34.8,1.4,0.3,14.6,24.6,3.3,1.7,4.9,0.104,1.8,-0.6,1.1,1.8,0,0,0,0,0,0,0
24,OKC,PG,50,13,1398,15.6,0.511,0.274,0.2,2.2,13,7.7,24.5,1.5,0.3,12.7,22.1,1.8,1.1,2.9,0.101,0.9,-0.2,0.7,0.9,0,0,0,0,0,0,0
24,DET,PG,27,27,870,19.8,0.511,0.198,0.245,3.4,12.7,7.9,51.2,1.2,0.4,17,28.6,1.5,0.5,2,0.11,3.2,-1.3,1.9,0.9,0,0,0,0,0,0,0
26,BOS,SG,82,57,2260,12.8,0.482,0.16,0.189,1.9,18.5,10.1,30,1.8,0.7,19.7,19.5,-0.3,2.8,2.5,0.054,-1.8,0.8,-1,0.6,0,0,0,0,0,0,0
27,LAL,SF,76,59,2245,11.1,0.509,0.375,0.162,3.2,12.9,7.8,8.6,1.3,1.6,10.5,16.4,1,0.7,1.7,0.037,-1.1,-0.8,-1.9,0.1,0,0,0,0,0,0,0
31,BRK,PG,80,27,2241,14.6,0.522,0.179,0.278,1,11.3,6.1,27.3,1.7,0.5,17.2,22.6,1.1,1.4,2.6,0.055,-0.4,-0.7,-1.1,0.5,0,0,0,0,0,0,0
26,ATL,PG,73,72,2228,20.6,0.566,0.233,0.36,1.6,7.7,4.7,37.9,2.9,1.2,16.6,25.3,5,2.8,7.7,0.166,2.7,0.3,2.9,2.8,1,0,0,0,0,0,0
38,SAS,C,77,77,2227,22.6,0.56,0.009,0.38,8.8,26.7,17.9,16.8,1.4,5.1,12.1,22.2,4.9,4.7,9.6,0.207,2.3,2.8,5.1,4,1,1,0,0,0,0,0
27,MEM,PG,70,70,2225,18.6,0.558,0.314,0.282,1.5,9.2,5.4,28,2.1,0.5,13.6,23.7,4.2,2.7,6.8,0.147,2.6,0.2,2.8,2.7,0,0,0,0,0,0,0
23,2TM,SG,80,23,2208,10.9,0.46,0.26,0.182,2.1,7.4,4.8,11.9,2.1,0.8,10,22.5,-0.6,1.7,1.1,0.025,-2.5,-0.8,-3.3,-0.7,0,0,0,0,0,0,0
23,CLE,SG,33,3,786,12.2,0.468,0.251,0.175,1.8,6.5,4.2,15.6,2.9,1,12,24,-0.3,0.7,0.5,0.029,-2.6,0,-2.6,-0.1,0,0,0,0,0,0,0
23,OKC,SG,47,20,1422,10.1,0.455,0.265,0.185,2.2,7.9,5.1,9.8,1.6,0.6,8.8,21.7,-0.3,1,0.7,0.023,-2.5,-1.2,-3.7,-0.6,0,0,0,0,0,0,0
23,CLE,PF,82,15,2194,15.6,0.58,0,0.508,14.5,19.7,17.2,2.7,0.8,2.2,12.2,14,4.7,2.1,6.8,0.148,0.1,-1.4,-1.2,0.4,0,0,0,0,0,0,0
25,MIN,C,73,49,2193,17.2,0.573,0.012,0.477,11.3,20.8,15.9,10.5,1.6,4.5,16.9,15,3.4,1.5,4.9,0.108,-0.1,0.3,0.2,1.2,0,0,0,0,0,0,0
28,ATL,SF,70,69,2189,15.9,0.603,0.466,0.277,5.3,13.8,9.7,8.3,2.2,0.7,9.3,16.9,4.3,2.8,7,0.154,1.2,0.4,1.7,2,0,0,0,0,0,0,0
26,DAL,SF,66,66,2186,16.3,0.567,0.419,0.233,3.2,13,8.1,11.4,1.6,0.7,9.5,20.6,3.8,1.7,5.5,0.121,2,-0.4,1.6,2,0,0,0,0,0,0,0
22,UTA,C,82,37,2158,21.6,0.627,0.005,0.639,14.3,27.2,20.7,8.2,1.6,7,16.9,14,5,4.3,9.3,0.206,1.7,2.5,4.2,3.4,0,0,0,0,0,0,0
25,TOR,PF,81,4,2156,14.6,0.568,0.529,0.15,6.8,16.3,11.6,10.7,1.4,1.6,8.7,13.1,4.4,1.7,6.1,0.137,2.3,0.2,2.5,2.4,0,0,0,0,0,0,0
23,2TM,PG,66,63,2149,14.1,0.461,0.166,0.317,3.2,15.3,9,37.3,2.6,1.1,19.5,26.7,-2.1,2.9,0.8,0.017,-1.3,0.3,-1.1,0.5,0,0,0,0,0,0,0
23,PHI,PG,41,38,1391,12.8,0.444,0.205,0.298,3.2,17.3,9.9,40.9,2.2,1,20.1,27.1,-2.1,1.6,-0.5,-0.017,-1.7,-0.4,-2,0,0,0,0,0,0,0,0
23,MIL,PG,25,25,758,16.3,0.496,0.091,0.354,3.2,11.7,7.5,30.8,3.4,1.3,18.2,25.8,0,1.3,1.3,0.08,-0.8,1.4,0.6,0.5,0,0,0,0,0,0,0
24,DET,PF,69,57,2137,21.2,0.549,0,0.394,11.2,25.1,17.9,11.7,1.9,1.3,13,23.9,4,2.8,6.8,0.153,2,0,2,2.1,0,0,0,0,0,0,0
22,2TM,C,75,74,2135,20.3,0.564,0.048,0.252,14.6,20.5,17.6,4.8,0.9,1.1,12.3,24.7,4.3,2.1,6.4,0.145,1.6,-2.5,-0.9,0.6,0,0,0,0,0,0,0
22,UTA,C,49,48,1326,17.5,0.535,0.07,0.203,12.9,20.5,16.7,3.8,0.9,1,12.8,25.1,1.4,1.3,2.7,0.099,0,-2.7,-2.7,-0.2,0,0,0,0,0,0,0
22,OKC,C,26,26,809,24.9,0.611,0.012,0.335,17.5,20.5,19,6.4,0.8,1.3,11.6,23.9,2.9,0.8,3.7,0.22,4.4,-2.3,2,0.8,0,0,0,0,0,0,0
24,CHO,PG,62,58,2119,17.6,0.486,0.285,0.288,1.8,9.9,5.7,27.1,2.2,1.2,8.3,25.9,1.8,2.6,4.5,0.101,1.7,0.6,2.3,2.3,0,0,0,0,0,0,0
25,OKC,PF,64,64,2116,16.6,0.549,0.261,0.14,7,18.1,12.6,4.2,0.7,5.8,10.4,18.9,2.9,2.7,5.6,0.127,0.5,0.4,0.9,1.6,0,0,0,0,0,0,0
30,BRK,PG,68,55,2114,15.7,0.504,0.307,0.313,1.5,11,6.3,33.7,1.6,0.6,14.9,22.3,2.3,1.3,3.6,0.083,1.1,-0.9,0.2,1.2,0,0,0,0,0,0,0
21,WAS,SG,63,59,2107,14,0.521,0.304,0.195,3.1,9.6,6.4,15,1.8,0.7,11.7,22.5,1.3,2.4,3.7,0.085,-0.1,0.2,0.1,1.1,0,0,0,0,0,0,0
26,BRK,C,72,44,2100,22.7,0.558,0.01,0.278,11.5,17.1,14.3,4.5,1.1,4.8,8.6,26.3,4.7,2.2,7,0.159,1.8,-0.7,1.2,1.6,0,0,0,0,0,0,0
25,TOR,SG,60,60,2100,17.4,0.51,0.089,0.438,2.3,12.9,7.6,17,1.8,0.4,10.4,28.4,2.6,1.4,4,0.09,0.5,-1.4,-0.9,0.6,0,0,0,0,0,0,0
22,TOR,C,80,80,2096,20.6,0.623,0.002,0.423,11.8,26.3,19.1,3.1,0.8,3.6,12.4,19.1,5.8,2.4,8.2,0.189,1.4,-0.9,0.5,1.3,0,0,0,0,0,0,0
23,TOR,SF,82,61,2092,11.2,0.519,0.518,0.074,1.8,10.7,6.2,6.5,1.3,1,8.1,18.3,1.3,1,2.4,0.054,-0.1,-1.3,-1.4,0.3,0,0,0,0,0,0,0
